would_take_again,quality,difficulty,last_name,first_name
63%,3.5,3.1,Beard,Leta
47%,3.0,3.7,Pal,Soumik
35%,3.9,3.4,Maly,Dustin
N/A,3.7,3.2,Oakley,Amy
87%,4.5,3.1,Rice,Kolya
98%,4.9,2.4,Mitchell,Kimberly
N/A,4.0,3.9,Wells,Bill
N/A,3.5,2.3,Beam,Randy
85%,4.5,2.5,Kirkland,Tabitha
N/A,4.5,2.1,Konick,Willis
69%,3.9,3.3,Whelan,Jack
100%,4.8,3.1,Weber,Elizabeth
38%,4.3,3.1,Burdzy,Krzysztof
89%,4.5,2.8,Dumitriu,Ioana
91%,4.7,2.4,McGarrity,Matt
42%,2.9,2.6,Stroup,Sarah
N/A,3.5,2.8,Gladycheva,Svetlana
40%,3.7,3.6,Lieblich,Max
88%,4.2,2.6,Fraser,Oliver
96%,4.9,3.7,Cooper,Jacob
31%,3.2,3.6,Bachman,David
N/A,4.4,3.3,Hanson,Stephen
N/A,2.8,3.9,Reinhardt,William
25%,2.1,4.0,Gelb,Michael
53%,2.7,3.6,Paperman,Joseph
90%,4.5,3.0,Studer-Ellis,Erich
86%,4.5,3.6,Blank,Adam
88%,4.3,2.1,Perez,Michael Vicente
92%,3.9,2.9,Mayerfeld,Jamie
N/A,2.3,2.3,Kappy,David
8%,1.4,4.3,Dobkowski,Katie
88%,4.3,3.0,Harford,Jarrad
50%,3.2,2.9,Knox,Melissa
88%,4.4,3.1,Kenney,Nancy
25%,3.2,4.2,Nishikawa,Itsuko
N/A,4.2,1.8,Kramer,Patricia
N/A,4.6,2.4,Clary,Scott
7%,1.6,4.4,Miller,Dana
100%,3.3,3.5,Gonzalez,Jorge
33%,3.8,2.5,Ahlbach,Connor
96%,4.3,2.9,Tolich,Kazumi
100%,4.2,2.7,Griffith,John
N/A,3.3,3.6,Marshall,Donald
100%,4.7,1.4,Martin,Gary
71%,4.2,2.4,Bonus,Enrique
80%,3.2,4.4,Cheng,Karen
N/A,3.5,3.0,Baker,Ann
N/A,4.5,2.9,Giffard,C. Anthony
N/A,2.4,4.2,Robinson,Cabeiri
36%,2.8,4.1,Marzban,Caren
N/A,2.1,4.3,Schellinger,Joan
67%,3.7,3.5,Little,Laura
95%,4.7,2.3,Guzman,Gonzalo
96%,4.5,1.4,Vogt,Kristiina
71%,3.0,2.3,Boiko,Bob
60%,2.6,2.7,Underwood,Doug
N/A,3.0,2.8,Lagos,Taso
40%,3.2,3.0,Harrell,Michael
N/A,4.8,3.1,Zhang,Jon
N/A,3.0,2.9,Leonesio,Jacob
N/A,3.8,3.8,Widdison,Elizabeth
63%,2.8,3.8,Warner,Garth
90%,3.9,3.2,O'Neill,John
83%,4.0,3.0,Depies,Matthew
N/A,3.1,2.7,Mayer,Jonathan
57%,3.9,3.2,Garcia,Alejandro
N/A,5.0,1.8,Chernicoff,Stan
100%,4.1,3.2,Beckett,Katherine
50%,2.8,3.3,Jones,Julia
N/A,3.1,2.9,Speed,Clarke
71%,3.7,3.0,Perkins,Hal
56%,3.1,4.2,Lin,Zhi
16%,1.9,4.6,Robinson,Samantha
67%,2.8,3.3,Whiting,Susan
90%,4.3,3.3,Rohde,Steffen
38%,3.4,2.6,Blinov,Boris
100%,4.2,2.6,Nelson,Dana
91%,3.9,2.3,Ohta,Kaoru
50%,3.6,3.8,Reich,Jane
69%,2.9,3.1,Rathod,Pradip
N/A,3.3,3.0,Di Stefano,Christine
24%,3.0,3.4,Duchamp,Thomas
N/A,4.4,3.0,Boydston,Andrew
N/A,4.9,1.2,Korn,Steve
47%,3.8,2.7,Souders,Michael
50%,3.2,3.2,Lee,Regina
78%,4.0,3.5,Eicher,Theo
40%,3.1,2.5,Braester,Yomi
67%,3.7,1.9,Nishanov,Vitaly
50%,3.8,3.7,Anderson,Denise
100%,3.9,3.8,Vaughan,Joshua
75%,4.3,2.7,Gregory,James
50%,3.6,3.6,Collingwood,David
100%,4.0,3.1,Pollack,Daniel
N/A,3.9,4.1,Behlmer,George
86%,4.1,3.2,Felak,James
63%,2.5,2.9,Turnovsky,Michelle
N/A,4.7,2.1,Stansbury,Heather
N/A,2.5,3.1,Surek-Clark,Clarissa
70%,4.0,4.0,Lalic,Gojko
N/A,3.7,2.3,Kushnick,Geoffrey
14%,2.6,3.4,Obourn,Allison
100%,4.5,2.6,Johnson,Jessica
N/A,4.4,2.4,Hankinson-Nelson,Lynn
80%,4.0,2.8,Thorpe,Rebecca
N/A,4.8,2.0,Barker,Holly
N/A,4.5,3.4,Thurtle,Phillip
N/A,3.3,4.5,Peckol,James
80%,3.1,3.0,Sylvester,John
N/A,4.9,2.8,Hodge,Frank
N/A,3.0,3.0,Pilcher,Martha
92%,4.5,2.0,Matthews,Martha
93%,4.5,2.2,Henry,Barbara
67%,3.8,3.3,Block,Richard
43%,3.2,3.4,Fox,Tyler
92%,4.3,3.0,Urbanski,Charity
80%,4.3,1.8,Anderson,Alex
N/A,4.1,3.1,Minai,Barry
20%,3.9,2.9,Beecher,Michael
63%,3.1,3.3,Grove,Ranjini
63%,4.0,2.4,Martin,Ruth A.
71%,4.2,3.5,Cockrell,Andrew
N/A,2.8,3.7,Golingo,Raymond
83%,4.2,3.9,Self,Casey
88%,3.8,3.3,Andreev,Anton
100%,4.3,2.7,Jonas,Raymond
92%,4.3,3.5,Thomas,Michael
79%,3.5,3.0,Franco,Paul
60%,3.4,3.8,Varani,Gabriele
9%,2.2,2.2,Salas,Elizabeth
86%,3.2,3.7,Burstein,Jessica
67%,4.0,2.3,Leiren,Terje
75%,4.1,2.5,Frierson,Dargan
N/A,4.4,3.3,Martin,Helene
88%,3.8,2.2,Yasin,Ekin
84%,4.4,3.2,Fung,Zorah
94%,4.9,2.2,Helterbrand,Ryan
100%,4.3,2.8,Buchwitz,Brian
N/A,3.3,3.6,Chapman,Rachael
N/A,4.7,1.4,Prat,Chantel
N/A,2.3,3.6,Weller,Cass
49%,3.0,3.7,al-Binni,Usama
100%,4.6,1.7,Chun,Debbie
N/A,4.3,3.8,Kasaba,Resat
N/A,2.8,3.6,Bradshaw,Toby
N/A,4.0,2.4,Casteras,Susan
N/A,3.0,3.4,Popov,Nikolai
100%,4.6,3.1,Kutz,Nathan
N/A,4.0,2.5,Smith,Mark A
100%,3.5,3.1,Drobny,Gary
89%,4.6,2.9,Herron,Jon
N/A,3.5,3.8,Judd,Hugh
27%,3.1,3.2,Butwin,Joseph
43%,3.0,3.3,Dong,Madeleine
92%,4.5,3.0,Strettoi,Cecilia
43%,2.3,3.6,Tanimoto,Steve
N/A,4.8,2.0,Zafer,Hamza
81%,4.5,3.7,Keller,Sarah
67%,2.5,4.4,Wilson,Denise
N/A,4.4,2.9,Moore,Adam
N/A,4.4,3.0,Tatta,Sabrina
N/A,3.8,3.2,Limketkai,Benson
N/A,4.5,3.4,Gairola,Rahul
60%,2.4,3.9,Escalera,Gibran
N/A,4.6,2.7,Dawson,Robert
50%,3.4,2.3,Dudley,Shannon
31%,3.0,3.7,Topper,Kathryn
94%,3.8,3.0,Chen,Tai-Chang
82%,4.3,2.7,Walker,Joel
50%,3.0,2.6,Collier,Tom
15%,1.7,4.0,Seales,Marc
N/A,2.5,4.1,Moy,Patricia
71%,3.8,3.0,Talbott,William
N/A,4.1,3.7,Pittack,Catrin
53%,3.6,2.8,Morita,June
N/A,2.7,3.9,Adams,Helen
N/A,4.4,3.0,Lingo,Stuart
80%,3.9,2.8,Hochberg,Lee
74%,3.8,3.7,Leipzig,Benjamin
71%,4.0,2.1,Tweedie,James
50%,3.7,3.3,Jecker,Nancy
77%,4.4,2.1,Wheat,Elizabeth
25%,2.7,2.5,Pena,Devon
N/A,3.5,3.0,Requejo,Alberto
86%,4.5,1.3,Sunardi,Christina
N/A,3.2,3.2,Dooley,Frederick
29%,2.5,3.4,Dos Reis,Fanny
89%,3.8,3.2,Cherniavsky,Eva
86%,3.8,1.7,Wong,Shawn
N/A,2.7,3.0,Litfin,Karen
100%,4.2,2.0,Dubois,Ia
33%,2.0,2.4,Allan,Graham G.
80%,3.6,3.4,Parker,Christopher
N/A,4.6,2.4,McDavid,Brad
N/A,2.9,3.0,Nesbitt,Liz
N/A,3.7,3.3,Chon,Izic
100%,4.2,3.3,Cao,Yuqing
N/A,2.5,3.5,Goussiou,Anna
67%,3.8,3.5,Laufenberg,Henry
45%,2.4,3.6,Rachamadugu,Ram
N/A,4.5,3.3,Lucero,Jose
89%,4.5,3.0,Long,James
91%,3.8,2.8,Paun,Dorothy
100%,4.1,3.7,Quinn,Phillip
82%,4.3,2.8,Kielbowicz,Richard
N/A,4.6,3.1,McGovern,William
N/A,4.8,2.2,Green,James
N/A,3.3,2.6,Gammon,Richard
83%,4.0,3.1,Brown,Michael
71%,3.8,2.8,Fitzhugh,Ben
100%,4.8,3.5,Taranath,Anu
N/A,2.5,3.1,Ogihara,Toshiyuki
88%,4.0,3.3,Rosenthal,Michael A.
N/A,3.0,3.7,Berryman,Jack
N/A,3.4,3.3,Dearing,Thomas
N/A,4.6,2.6,Manchak,John
95%,4.5,2.4,Straus,Kristi
62%,3.4,3.4,Stephany,Aurora
70%,3.8,3.2,Schafer,Hunter
44%,3.5,3.0,Hill,Alex
15%,2.2,4.0,Pearce,Katy
N/A,1.3,3.9,Roy,Sumit
27%,2.1,4.3,Wakimoto,Barbara
91%,4.8,2.4,Laporte,Charles
100%,4.8,3.3,Wortzman,Brett
N/A,3.8,3.0,Philipsen,Gerry
N/A,2.7,3.2,Beyers,Bill
N/A,4.2,3.5,Hevly,Bruce
N/A,4.3,3.0,Joshel,Sandra
25%,3.4,3.7,Devinatz,Ethan
N/A,4.1,2.9,Giblin,Alexia
13%,2.3,4.3,Bulgac,Aurel
88%,4.4,2.8,Kiser,Edgar
33%,4.0,3.2,Hole,Ben
N/A,4.4,2.2,De Leon,Jason
N/A,2.3,3.8,Gurarie,Eliezer
N/A,2.2,3.3,Elangovan,Arumugasamy
N/A,4.5,1.8,Modhurima,Orchi
86%,3.8,2.1,Prakash,Vikram
100%,5.0,2.3,Malone,Jennifer
40%,3.7,2.6,Smidchens,Guntis
N/A,1.3,4.5,Martina Morris,Wanda
83%,4.3,3.5,Brody,David
58%,3.3,3.3,Baesler,Wendy
N/A,1.8,3.0,Collins,Doug
N/A,3.6,2.4,Bennett,Lance
N/A,3.8,3.7,Osanloo,Arzoo
N/A,3.0,3.7,Black,Al
N/A,2.3,3.7,Cramer,John
N/A,4.3,3.2,Stacey,Robin
N/A,2.3,3.6,Jarosz,Lucy
N/A,3.0,3.0,Strickland,Richard
75%,4.5,2.7,Liu,Michelle
N/A,2.4,3.6,Engel,Tom
60%,3.9,1.9,Remley,Paul
67%,4.3,2.9,Blake,Michael
83%,4.2,2.5,Foster,Thomas
N/A,2.8,3.0,Chaloupka,Vladimir
50%,3.6,2.4,Ingebritsen,Christine
N/A,4.3,2.6,Patterson,Christopher
50%,3.9,2.3,Cichowski,Rachel
N/A,1.9,3.1,Van Volkenburgh,Liz
88%,4.0,2.8,Taylor,Matthew
100%,4.3,2.7,Ruckert,Jolina
N/A,3.7,3.4,Pfaff,Steven
40%,2.8,3.4,Tihanyi,Timea
N/A,3.5,2.3,Debray,Natalie
92%,4.3,3.1,Hannula,Kara
50%,2.6,3.5,Roberts,Jean
N/A,2.3,3.6,Wadden,Doug
N/A,4.3,2.3,Sullivan,John
N/A,2.3,3.5,Di Stilio,Veronica
N/A,4.7,2.0,Eisenberg,Mike
N/A,2.2,2.7,Wilkes,Jeff
N/A,4.6,2.0,Maring,Bayta
N/A,1.7,3.9,Borys,Ann
85%,4.2,3.8,Wieczorek,Marek
33%,3.3,3.4,Gloyd,Steve
100%,4.8,2.4,Fan,Yang
10%,2.0,4.4,Naraghi,Yasaman
N/A,4.7,2.3,Gilmore,Jason
N/A,5.0,4.1,Warren,Jack
73%,3.6,3.4,Garland,Alaina
57%,3.9,4.0,Kier,Elizabeth
38%,3.0,3.5,Menaldo,Victor
93%,5.0,1.9,Newman,Jodi
31%,2.5,4.4,Mescher,Ann
92%,4.4,2.9,Zeng,Yao
20%,1.7,3.4,Fearn-Banks,Kathleen
68%,4.1,3.5,Wallace,Geoffrey
100%,4.7,3.4,Jung,Moon-Ho
N/A,2.5,4.0,Foot,Kirsten
N/A,2.7,2.8,Epiotis,Nick
100%,3.9,2.2,Anagnost,Anne
N/A,4.2,3.3,Bi,Nyan Ping
N/A,3.7,4.0,Medlar,Deborah
N/A,3.9,2.5,Mass,Cliff
N/A,4.4,2.5,Moore,Ronald
N/A,4.7,2.1,Lind,Doug
N/A,4.1,3.5,Lovell,George
N/A,3.2,2.8,Tokuno,Kyoko
N/A,3.7,3.3,Han,Bo
N/A,3.5,3.1,O'Neil,Mary
N/A,3.1,3.5,McMains,Juliet
67%,4.0,3.2,Heron,Paula
67%,3.9,3.3,Rodriguez-Silva,Ileana
N/A,4.7,2.8,Mamani,Hamed
25%,3.7,1.9,Mahadevan,Sudhir
N/A,4.5,1.4,Constant,Alexander
60%,2.7,4.3,Schick,Michael
N/A,3.0,3.0,Heinekey,Dennis
N/A,2.8,2.8,Zane,Ariel
93%,4.0,2.9,Stearns,David
94%,4.3,3.2,Francis,Megan
80%,3.5,2.5,Johnson,Jay
75%,4.5,4.0,Migdal,Joel
56%,3.6,2.6,Frost,Ann
80%,3.8,2.9,Abrams,Robert
N/A,4.0,2.9,Ohta,Amy
100%,4.0,3.1,Anderson,Ruth
82%,3.8,2.1,Wacker,Norman
88%,4.0,3.4,Malakoutian,Mohammad
25%,2.3,3.7,Covey,Ellen
N/A,4.9,2.2,Kerr,Ben
N/A,3.4,2.3,Walker,Jamie
N/A,4.4,2.7,Burt,Ryan
N/A,3.4,2.5,Jeck,Doug
93%,4.5,2.3,Connors,Catherine
N/A,3.9,3.8,Johnson,Richard
N/A,3.0,4.2,Loftus,Geoffrey
91%,4.5,2.5,Swarr,Amanda
N/A,4.8,3.2,Weigle,Scott
N/A,2.9,2.9,Shulman,Jeffrey
N/A,4.1,3.1,Pettinicchio,David
N/A,4.3,3.0,Prakash,Aseem
100%,4.8,1.9,Tolnay,Stewart
N/A,4.5,2.4,Pereira,Javier
100%,4.6,2.2,Borah,Abhishek
N/A,2.5,4.1,McCoy,Anne Bowen
90%,4.8,3.2,Tewari,Vasu
62%,3.8,1.7,Ives,Charles
78%,4.2,3.3,Moody,Bill
N/A,4.0,2.8,Raneda-Cuartero,Inma
100%,4.7,2.3,Giebel,Christoph
50%,3.9,2.9,Bergantz,George
N/A,3.0,3.9,Straumanis,Andrei
N/A,3.3,3.3,Shores,D.
N/A,3.4,2.6,Zhang,Miqin
50%,3.2,3.2,McPherson,Richard
50%,3.3,3.4,Evans,Betsy
30%,1.9,3.3,Warren,Jonathan
80%,4.3,3.5,Pyle,Kenneth
N/A,2.9,2.6,Burstein,Paul
N/A,3.9,3.5,Laird,Margaret
N/A,3.6,2.8,Barash,David
N/A,1.8,3.7,Rygh,Todd
N/A,4.7,1.9,Sumida,Stephen
100%,4.2,3.8,Andresen,Third
N/A,2.4,4.0,Rothberg,Joseph
N/A,3.3,2.5,Harrell,Stevan
20%,3.7,3.7,Radnitz,Scott
N/A,1.6,4.3,Scholz,Friedrich
N/A,2.5,4.3,Cheng,Lillian
92%,4.4,1.9,Hoffman,Daniel
100%,4.5,2.8,Parameswaran,Manoj
67%,3.5,2.7,Spannagel,Sabrina
75%,4.3,3.1,Raymond,Annie
100%,4.6,2.0,Saxena,Aayush
40%,1.8,4.2,Brumback,Lyndia
100%,4.8,3.7,Smith,David
80%,4.5,2.7,Hakim,Greg
67%,3.6,3.6,Kennedy,Michael
N/A,4.0,4.1,Palmieri,John
N/A,3.0,2.9,Simpson,Roger
N/A,4.3,3.2,Thomas,Rekha
N/A,2.8,3.8,Caplow,Deborah
N/A,4.7,3.3,Cummings,Kate
N/A,3.8,2.0,Bilaniuk,Laada
N/A,4.3,2.8,Lawson,Victoria
N/A,4.1,2.5,Bauman,Yoram
N/A,4.5,3.5,Lee,Jane
71%,3.4,3.2,Alaniz,Jose
N/A,2.4,3.1,Ellingson,Ter
N/A,3.8,3.4,Begun,Jeffrey
N/A,4.0,2.5,Hannah,Joseph
N/A,3.3,3.7,Proksch,Gundula
N/A,2.6,3.1,Zhang,Bo
44%,2.9,3.2,Daniel,Thomas
86%,3.5,3.7,Iwata,Akiko
N/A,4.7,3.6,Mexica,Cuauhtemoc
N/A,4.5,3.0,Hertzog,David
100%,4.5,3.1,Brunton,Steve
40%,2.5,3.6,Hargus,Sharon
79%,4.1,4.0,Blackburne,Terrence
N/A,3.4,2.6,Caporaso,James
100%,4.7,2.2,Naar,Devin
100%,3.4,3.4,Crowe,Alison
100%,4.3,3.0,Matsuda,Izumi
60%,3.5,3.5,Seidler,Gerald
57%,3.1,4.1,Wiggins,Paul
100%,4.9,1.8,Meyer,Hedwige
N/A,2.8,3.2,Nyasulu,Frazier
N/A,2.9,3.6,Zagona,Karen
N/A,3.7,2.4,Kuru,Selim
N/A,4.2,2.4,Bonjean,Elizabeth
N/A,4.2,3.0,Warren,Adam
N/A,3.3,3.1,Manusov,Valerie
N/A,3.4,2.1,Bean,Jennifer
N/A,2.0,3.9,Prezhdo,Oleg
N/A,4.1,2.7,Sinkler,Adrian
N/A,2.7,3.5,Kochin,Levis
N/A,4.0,2.9,Milakis,Emmanouil
N/A,3.2,1.6,Clements,Darleen
N/A,4.5,2.0,Meyer,Mahlon
N/A,3.7,3.3,Wolff,Hendrik
38%,3.0,4.0,Dabiri,Dana
N/A,4.8,2.4,Scott,Terry
N/A,3.8,3.5,Meister,Cecile
N/A,2.7,3.6,Anthony,Ryan
N/A,3.3,3.4,Ibrahim,Habiba
25%,2.0,4.0,Bricker,Lauren
100%,4.3,2.7,Freeman,Michael
60%,3.8,3.4,Mediavilla,Marilís
58%,3.7,3.6,Chapman,Rachel
70%,3.8,1.7,Jenner,Lars
63%,3.9,3.0,Morse,Jason
N/A,4.6,2.6,Simpson,Caroline
75%,4.2,2.7,Nishime,Leilani
N/A,3.3,3.7,Dumas,Bob
N/A,4.4,3.8,Matsumoto,Dawn
N/A,3.9,2.1,Levaniouk,Olga
N/A,4.1,3.4,Gautschi,Frederick
N/A,2.4,4.6,Stout,Edgar
N/A,4.3,2.6,Yee,Shirley
80%,4.5,3.6,Leporace,Giuseppe
N/A,4.6,3.0,Murakawa,Naomi
N/A,3.7,3.0,Kashima,Tetsuden
N/A,2.9,3.9,Chan,Kam Wing
83%,3.5,3.1,Streitberger,William
N/A,2.7,3.9,Turecek,Frank
N/A,4.5,2.6,Belic,Bojan
83%,3.4,2.7,Rorabaugh,William
N/A,3.8,3.2,Novik,Isabella
N/A,2.9,3.5,Thomas,Carol
N/A,4.9,2.2,Yanci,Estefania
7%,1.8,3.8,Breidenthal,Robert
N/A,4.0,2.7,Bunn-Marcuse,Kathryn
N/A,3.0,3.5,Schindler,Daniel
N/A,4.2,2.8,Brown,Jonathon A
88%,4.2,2.4,Forshay,Lance
N/A,3.4,3.3,Gee,Jeramy
43%,3.4,2.0,Cooper,Tamara
N/A,5.0,4.1,Hisayasu,Curtis
N/A,3.5,4.0,Chude-Sokei,Louis
N/A,4.8,1.7,Zygutis,Linda
N/A,4.5,2.1,Sultan,Syed Galib
N/A,3.9,3.8,Smarr,Benjamin
11%,1.9,1.8,Jegatheesan,Brinda
N/A,5.0,1.5,Scribner,Rocne
N/A,4.3,2.8,Pittman,Lashawnda
64%,3.7,4.1,Bet-Shlimon,Arbella
100%,3.4,3.2,Burt,Callie
84%,4.2,4.0,Hussein,Rania
42%,2.6,2.7,Gloster,Anne-Marie
67%,4.2,2.6,Elwood,Sarah
33%,3.0,3.6,Dundon,Ariana
75%,4.3,2.3,Crowder,Kyle
20%,2.7,3.6,Olmstead,Marjorie
N/A,3.7,3.6,Pekkanen,Robert
63%,3.4,4.1,Hsia,Justin
95%,4.4,3.4,Barrows,Charles
N/A,4.0,3.8,Bailkin,Jordanna
57%,3.2,4.4,Anantram,Manjeri
N/A,4.3,2.6,Averbeck,Patrick
67%,4.3,3.3,Withers,Suzanne
N/A,3.6,2.7,Battisti,David
N/A,3.5,3.8,Watts,Gordon
N/A,4.0,2.7,Nomura,Gail
N/A,4.2,2.9,Bright,Clare
N/A,4.8,2.0,Greene,Robin
N/A,3.9,2.6,Rhodes,Jack
N/A,4.3,2.8,Mazzola,Claudio
N/A,5.0,3.0,Goldstein,Evan
N/A,4.0,2.9,Goering,Sara
N/A,3.2,3.3,Porter,Deborah
N/A,4.5,2.2,Simmons-O'Neill,Elizabeth
N/A,3.0,3.3,Buck,Warren
N/A,2.9,4.1,Ramulu,Mamidala
N/A,4.8,2.2,Paetzke,Adriana
11%,2.0,3.1,Mulcahy,Michael
N/A,2.9,4.1,Schellenberg,Ingra
N/A,3.9,2.9,Rosoff,David
N/A,3.9,3.8,Ly,Uy-Loi
N/A,4.3,2.5,Ammirati,Joseph
83%,4.6,2.7,Findlay,John
100%,4.5,3.2,Jaccard,Erik
80%,4.4,2.8,Percinkova-Patton,Irena
N/A,3.5,3.4,Khalil,Munira
100%,4.4,3.0,Zaitseva,Valentina
N/A,2.7,2.6,Carotenuto,Gianna
N/A,4.8,1.9,Bourbonnais,Alissa
13%,1.6,4.1,Carothers,James
44%,2.5,1.9,Dillard,Kara
44%,2.9,4.1,Chong,Erica
86%,4.3,3.1,Patterson,Mark
50%,3.5,3.2,Schildkraut,Laura
100%,4.5,3.7,Rakhra,Raj
94%,4.7,3.4,Marhoefer,Laurie
N/A,3.9,2.9,Wright,Richard
100%,3.8,2.6,Friedman,Carolyn
50%,3.9,2.7,Sverdlov,Serge
72%,3.5,4.0,Ross,Joel
N/A,4.7,2.9,Young,Lance
67%,3.6,3.8,D'Mello,Royan
N/A,4.7,3.0,Murr,Jonathan
17%,3.3,3.7,Smoll,Frank
N/A,2.2,2.9,Bravmann,Rene
40%,3.7,2.9,Glenn,Susan
N/A,4.1,3.3,Arms,Judith
40%,3.2,2.7,Kaup,Monika
N/A,2.9,2.9,Goldberg,Ellis
N/A,4.0,2.2,Diment,Galya
